cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,Cmmm | a b f,0.40919109543751375,9074,12123
120,Fm-3m | a b c,0.6117523609653726,3812,13227
121,P2/m | a g n,0.1055473735886107,4074,6257
122,I-4m2 | a b c d,0.545065370820317,8643,12088
123,P4/mmm | a b h,0.3467741935483871,6076,8431
124,I-4m2 | a b c d,0.46641098602004205,8083,11476
125,I4/mmm | a b d,0.45553982756402006,7771,10449
126,P4/mmm | a c e,0.4914432017248349,7421,10193
127,C2/m | a d i,0.27672184753729817,9786,12194
128,F-43m | a b c d,0.9898843930635838,7612,10386
129,C2/m | a d i,0.2443450161570967,8046,10507
130,Pmm2 | a d,0.24279404927940493,8604,11687
131,C2/m | a d i,0.4503225806451613,6975,8719
132,F-43m | a c e,0.9032515778541184,12517,17946
133,I4/mmm | a e,0.18317358892438765,6573,8330
134,F-43m | a c e,0.9402926574340215,7654,10870
135,P3m1 | a b c,0.5909547738693467,3980,5690
136,Cm | a,0.6912079102084446,7484,8927
137,Fd-3m | c e f,0.1785377676046856,7427,10886
138,F-43m | a b c d,0.987914364640884,5792,9007
139,I4mm | a,0.6690582959641256,6690,8611
140,P4mm | a b,0.3488268156424581,8950,12013
141,Immm | a c j,0.20615846789335335,7989,10617
142,I4mm | a,0.38396825396825396,6300,8242
143,P4/mmm | a c e,0.5698033881538271,8087,11401
144,P2/m | a g n,0.2889329743517075,7057,9940
145,F-43m | a c e,0.41317047265002654,1883,13826
146,Cm | a,0.6764895122892807,7771,9594
147,Cmm2 | a b,0.31026884089907447,9076,12446
148,Pmmm | a d f g,0.32030759573132456,6372,8966
149,P2/m | a g n,0.2493881546744983,8172,11710
