cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
140,P3m1 | 1a 1b 1c,0.40271782573940845,6255,8598
141,P4mm | 1a 1a 1b 1b,0.28484565014031804,8552,11446
142,I4/mmm | 2a 2b 4d,0.387027027027027,6475,8528
143,F-43m | 4a 4c 16e,0.9649261603375527,7584,10338
144,P4mm | 1a 1a 1b 1b,0.45439448134900357,7828,10755
145,P2/m | 1a 1g 2n,0.4297243794731232,6567,9304
146,I4mm | 2a 2a 2a,0.48347770291947384,6234,8072
147,Immm | 2a 2c 4j,0.32006178136262226,5827,7912
148,Cm | 2a 2a 2a 2a,0.6102044050071304,6311,7836
149,C2/m | 2a 2d 4i,0.1393239901071723,7278,9630
