cluster_i,cluster_k,epsilon
3,35,1.1462269699923436e-15
3,36,1.1090572981361416e-15
3,37,8.96550904959566e-16
3,38,7.189108386145123e-16
3,39,7.557067837599038e-16
3,40,1.6499865980264535e-15
3,41,1.5045868117100316e-15
3,42,2.4620735917780546e-15
3,43,9.128795403860506e-16
3,44,5.580635349756949e-16
3,45,2.6028368189219804e-16
3,46,7.331017008297477e-16
3,47,1.719268195052947e-15
3,48,6.131994526221209e-16
3,49,1.3484175133001716e-15
4,5,4.7076376884983435e-30
4,6,1.7699945669242472e-30
4,7,4.420830455277181e-30
4,8,6.028557186989475e-16
4,9,3.452055913483773e-30
4,10,4.51764328274385e-30
4,11,4.925736542925993e-16
4,12,2.5564044038893605e-30
4,13,6.817079948498344e-30
4,14,5.0081299176721515e-30
4,15,3.386705117825413e-30
4,16,3.690639018087544e-30
4,17,3.0767691138056813e-30
4,18,2.6652088935006296e-30
4,19,3.57658455251649e-30
4,20,3.524376790674697e-30
4,21,3.451338482750293e-30
4,22,2.1335143559865332e-30
4,23,3.469235666425814e-30
4,24,3.903287646897514e-21
4,25,2.5129396358803784e-30
4,26,8.902673933189392e-16
4,27,4.875409619840448e-20
4,28,4.399982799529938e-30
4,29,8.673617379879065e-19
4,30,7.336800918700506e-30
4,31,8.815915660331473e-16
4,32,1.0259704546511941e-19
4,33,8.479395405831757e-30
4,34,4.82122263364993e-16
4,35,3.0491198353209863e-30
4,36,8.638149592714527e-30
4,37,3.1007782295800034e-30
4,38,3.767825781658635e-16
4,39,7.81329675883623e-30
4,40,6.875380593359703e-16
4,41,1.0399990278910617e-15
4,42,2.536955263116624e-15
4,43,4.4559060539300855e-30
4,44,2.0527606397207152e-30
4,45,1.1615172949346741e-30
4,46,2.9826447792102963e-30
4,47,9.928906358899835e-16
4,48,4.177557595503752e-30
4,49,3.0602150935514734e-16
5,6,3.3527838400900985e-30
5,7,5.165975990945546e-30
5,8,6.442717216082502e-16
5,9,2.4170442805313282e-30
5,10,6.07503448221134e-25
5,11,3.6881136577727784e-16
5,12,2.397790548294188e-30
5,13,2.9145556601085077e-16
5,14,8.445448387535364e-23
5,15,2.83128227845927e-30
5,16,4.298825108001491e-25
5,17,3.4762940472385446e-16
5,18,2.845053340858295e-30
5,19,2.289330092137676e-16
5,20,2.561052703935336e-30
5,21,7.4681968453575e-24
5,22,2.889279374719185e-30
5,23,2.7663570659197292e-30
5,24,2.832298844698019e-23
5,25,2.3166677438667513e-30
5,26,8.962529043843933e-16
5,27,1.5540088046413126e-23
5,28,5.641347305373914e-24
5,29,3.425079820986234e-16
5,30,5.102838152123779e-30
5,31,1.878876998339147e-15
5,32,3.245287716086287e-30
5,33,1.0176401422921212e-24
5,34,2.7041267367285054e-16
5,35,3.5234589074487254e-16
5,36,3.573879881025157e-23
5,37,2.3457909486202457e-30
5,38,4.003789931171433e-30
5,39,1.9947966343038918e-22
5,40,4.143565956123296e-16
5,41,4.554376521288339e-16
5,42,1.7438760183849684e-15
5,43,3.7034368317801926e-30
5,44,2.1258519619898126e-30
5,45,1.293895081574379e-30
5,46,3.3857623726577185e-30
5,47,9.457370384331564e-16
5,48,2.861258986619953e-30
5,49,1.1811408710208195e-25
6,7,4.592053732335519e-30
6,8,5.591301979169597e-16
6,9,1.999657859564689e-30
6,10,2.4960095365563782e-30
6,11,8.36712808653014e-16
6,12,2.1029021725641616e-30
6,13,3.569759712179203e-30
6,14,3.0866990038697332e-30
6,15,2.0561751405096575e-30
6,16,2.2857753825822728e-30
6,17,3.274188872989414e-30
6,18,2.4698824998279773e-30
6,19,3.912392848026737e-30
6,20,1.554320726784709e-30
6,21,2.9601873504320398e-30
6,22,2.984061887060211e-30
6,23,2.2461444369192083e-30
6,24,2.1016601730023055e-30
6,25,2.0525118406272518e-30
6,26,6.551194173923907e-16
6,27,6.504830887627825e-30
6,28,3.174051325328973e-30
6,29,3.459586489188344e-30
6,30,2.2310958771611878e-30
6,31,1.7814212999482537e-15
6,32,2.6062635954845944e-30
6,33,2.9697836416212365e-30
6,34,3.795200728760737e-16
6,35,3.270598656300981e-30
6,36,1.6639462178469413e-30
6,37,2.1618884469407777e-30
6,38,2.0443442010039408e-16
6,39,2.7444966501485136e-30
6,40,2.753658576978343e-16
6,41,6.75021451498583e-16
6,42,4.462793187835899e-16
6,43,3.078199275685074e-30
6,44,1.659332874589648e-30
6,45,1.1287770662328305e-30
6,46,3.23656225069406e-30
6,47,9.114292971774344e-16
6,48,2.3589909058850922e-30
6,49,5.146639657069327e-16
7,8,3.9933319345536927e-16
7,9,2.9443455393060584e-30
7,10,4.2169791792225374e-30
7,11,1.8023312072737943e-29
7,12,3.1368385017737278e-30
7,13,5.1544188503204096e-30
7,14,4.5281126240402245e-30
7,15,3.547175117263531e-30
7,16,3.117765318285297e-30
7,17,4.7054141929828066e-30
7,18,3.678356213944611e-30
7,19,5.6360092503147264e-30
7,20,2.2527686546941056e-30
7,21,4.727820955991918e-30
7,22,4.11272017056589e-30
7,23,2.3946260767643634e-30
7,24,4.3904484461229814e-30
7,25,2.86226768779636e-30
7,26,4.628592026246344e-16
7,27,9.459148110349482e-30
7,28,5.032088757242594e-30
7,29,4.636809079763925e-30
7,30,4.8812940074344014e-30
7,31,2.569211558427557e-15
7,32,3.322766816767901e-30
7,33,6.1582342494317775e-30
7,34,3.8005887153050796e-16
7,35,4.861440403113619e-30
7,36,5.611563560744388e-30
7,37,2.9572047901752127e-30
7,38,5.5054364110294836e-30
7,39,5.770486088881538e-30
7,40,2.78681129657522e-16
