layer,variant,distance,mean_cos
14,centered,22,-0.0676374
14,centered,23,-0.0565025
14,centered,24,-0.0493039
14,centered,25,-0.0290768
14,centered,26,-0.0185609
14,centered,27,-0.0333467
14,centered,28,-0.100084
15,raw,0,0.981044
15,raw,1,0.980704
15,raw,2,0.980334
15,raw,3,0.980009
15,raw,4,0.9797
15,raw,5,0.979388
15,raw,6,0.979172
15,raw,7,0.978958
15,raw,8,0.978721
15,raw,9,0.97849
15,raw,10,0.978343
15,raw,11,0.978146
15,raw,12,0.977969
15,raw,13,0.977713
15,raw,14,0.97741
15,raw,15,0.97722
15,raw,16,0.977059
15,raw,17,0.977003
15,raw,18,0.977095
15,raw,19,0.977341
15,raw,20,0.97752
15,raw,21,0.977766
15,raw,22,0.97805
15,raw,23,0.978478
15,raw,24,0.979021
15,raw,25,0.97958
15,raw,26,0.980118
15,raw,27,0.979733
15,raw,28,0.977538
15,centered,0,0.257862
15,centered,1,0.243014
15,centered,2,0.22929
15,centered,3,0.212904
15,centered,4,0.192514
15,centered,5,0.16459
15,centered,6,0.139218
15,centered,7,0.112793
15,centered,8,0.0858724
15,centered,9,0.0574595
15,centered,10,0.032235
15,centered,11,0.00135148
15,centered,12,-0.0282339
15,centered,13,-0.0607499
15,centered,14,-0.0941661
15,centered,15,-0.121726
15,centered,16,-0.144104
15,centered,17,-0.159492
15,centered,18,-0.16867
15,centered,19,-0.169166
15,centered,20,-0.170942
15,centered,21,-0.155827
15,centered,22,-0.139262
15,centered,23,-0.124297
15,centered,24,-0.118088
15,centered,25,-0.0890322
15,centered,26,-0.0694036
15,centered,27,-0.128428
15,centered,28,-0.244259
