chemsys,n_elements,n_entries,status,n_prompts
Bi-Os-Sc,3,39,ok,1
Bi-P-Sb,3,44,ok,1
Bi-P-Sn,3,55,ok,1
Bi-Pt-Ta,3,41,ok,1
Bi-Rb-Yb,3,42,ok,1
Bi-Rh-Si,3,79,ok,1
Bi-Sc-Y,3,40,ok,1
Bi-Se-Y,3,59,ok,1
Bi-Si-Zn,3,71,ok,1
Bi-Sr,2,34,ok,1
Bi-Sr-Te,3,57,ok,1
Bi-Sr-Tl,3,53,ok,1
Bi-Zr,2,26,ok,1
Br-Ca-Pt,3,34,ok,1
Br-Cd-Se,3,38,ok,1
Br-Cd-Zn,3,28,ok,1
Br-Cl-Ga,3,29,ok,1
Br-Cr-Os,3,24,ok,1
Br-Cu-Y,3,40,ok,1
Br-Fe-Ti,3,43,ok,1
Br-Gd-O-W,4,191,ok,1
Br-Ge-Tc,3,37,ok,1
Br-Hf-Ti,3,32,ok,1
Br-Hf-W,3,33,ok,1
Br-Hg-K,3,72,ok,1
Br-Hg-Os,3,41,ok,1
Br-In-Rh,3,36,ok,1
Br-Ir-Pb,3,26,ok,1
Br-K-Pb,3,46,ok,1
Br-K-Y,3,43,ok,1
Br-La-Mg,3,70,ok,1
Br-Mg,2,19,ok,1
Br-Mn-Sc,3,32,ok,1
Br-Na,2,22,ok,1
Br-Ni-Tc,3,23,ok,1
Br-Ni-Te,3,36,ok,1
Br-P-Se,3,50,ok,1
Br-Pd-Ti,3,43,ok,1
Br-Rb,2,30,ok,1
Br-Re-Ti,3,35,ok,1
Br-Rh-Ru,3,24,ok,1
Br-Ru-Si,3,71,ok,1
Br-Ru-Te,3,27,ok,1
Br-Sb,2,24,ok,1
Br-Se-V,3,38,ok,1
Br-Tm,2,15,ok,1
Br-Zn,2,19,ok,1
C-Cd-N,3,151,ok,1
C-Ce-Mo,3,91,ok,1
C-Cu,2,71,ok,1
C-Dy-Mn-Si-Tm,5,232,ok,1
C-Er-Ho-Se,4,113,ok,1
C-Eu-F-K-O,5,265,ok,1
C-F-H-Sb,4,159,ok,1
C-F-W,3,110,ok,1
C-Fe-Y,3,125,ok,1
C-Hf-Sc-V,4,117,ok,1
C-I-K-N,4,212,ok,1
C-Ni-O-Ru,4,178,ok,1
C-Tl,2,73,ok,1
Ca-Cd,2,24,ok,1
Ca-Cd-Hf-Mn,4,46,ok,1
Ca-Ce-Cu-Se,4,260,ok,1
Ca-Cl,2,19,ok,1
Ca-Cl-Cu-O-Te,5,287,ok,1
Ca-Cl-Ta,3,33,ok,1
Ca-Co-Pt,3,38,ok,1
Ca-Cr-Mo-Os,4,41,ok,1
Ca-Cr-Sc,3,29,ok,1
Ca-Cr-Ti,3,34,ok,1
Ca-Cs-Ga,3,52,ok,1
Ca-Cu-Tl,3,37,ok,1
Ca-Fe-Sn,3,49,ok,1
Ca-Fe-Sr,3,45,ok,1
Ca-Ga-Li-Sn,4,108,ok,1
Ca-Ge-Te,3,62,ok,1
Ca-H-Ni,3,64,ok,1
Ca-In-N,3,68,ok,1
Ca-Ir-Si,3,89,ok,1
Ca-K-Pb,3,56,ok,1
Ca-La-Rh,3,38,ok,1
Ca-Li-Ti,3,38,ok,1
Ca-Li-W,3,41,ok,1
Ca-Mg,2,93,ok,1
Ca-Mn-Zr,3,35,ok,1
Ca-Mo,2,20,ok,1
Ca-Mo-Re-W,4,53,ok,1
Ca-Na-Ti,3,44,ok,1
Ca-Nd-Ta,3,29,ok,1
Ca-Os-Pb,3,34,ok,1
Ca-Ru-V,3,24,ok,1
Ca-Sc-Zr,3,32,ok,1
Ca-Se-Zr,3,42,ok,1
Ca-Sr-Ti,3,45,ok,1
Ca-Ta-V,3,29,ok,1
