sg_sites,n_materials
P4/mmm | 1a 1c 1d 4i,32
P2/m | 1a 1e 2m 2n,32
Cm | 2a 2a 2a 2a 2a 2a 2a,32
Amm2 | 2a 2a 2a 2b,32
C2/m | 4i 4i 4i 4i 4i,31
P2_1/c | 4e 4e 4e 4e,31
Pbca | 8c 8c 8c 8c 8c 8c 8c 8c,31
Cmcm | 4a 4c 4c 8f 8f,31
Pm-3m | 1a 3c 3d 8g,31
P3m1 | 1a 1b 1b 1c,31
Pm | 1a 1a 1a 1a 1b 1b 1b 1b 2c 2c 2c 2c,31
Cmcm | 4a 4c 8g,30
Pm | 1a 1a 1a 1a 1a 1a 1b 1b 1b 1b 1b 1b 2c 2c,30
Imma | 4e 4e 8g,30
Pnma | 4c 4c 4c 4c 8d 8d,29
Im-3m | 2a,29
P2/m | 1a 1f 2m 2n,29
Im-3 | 2a 8c 24g,29
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,29
C2/c | 4e 8f 8f 8f 8f,29
Pnma | 4c 4c 4c 8d 8d 8d,29
R-3 | 3a 6c 18f 18f,29
Ibam | 4a 8j 8j,29
Cm | 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,29
P2_1/m | 2e 2e 2e 2e 2e 2e 4f,29
Fmm2 | 4a 4a 8b 8c 8d,29
P-1 | 1a 1e 2i 2i,29
R-3m | 6c 6c 18h 18h,29
I4/mmm | 2a 2b,28
P2_1/c | 2a 4e 4e 4e 4e,28
R-3m | 3a 3b 6c 6c 6c,28
R-3 | 3a 3b 18f,27
C2/c | 4e 8f 8f 8f 8f 8f,27
R3m | 3a 3a 9b,27
P4/mmm | 1a 1b 1d 4i,27
P1 | 1a 1a 1a 1a 1a 1a 1a,27
R-3m | 6c,27
P-6m2 | 1a 1d 3j 3k,27
C2/m | 2a 4h 4i 8j,27
R3m | 3a 3a 3a 9b 9b,27
Cmm2 | 2a 2b 4c 4d 4e,27
Cmc2_1 | 4a 4a 4a 4a 4a,27
Pmmn | 4e 4e 4e,27
Cmcm | 4a 4c 4c 8g,27
P2_1/m | 2a 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 4f 4f 4f,26
Pnma | 4a 4c 4c 4c 4c 4c 4c 4c 4c 4c 8d 8d,26
Imma | 4e 8h,26
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a,26
P6_3/mmc | 2c 4f,26
P4/nmm | 2c 2c 2c,26
Immm | 2a 2c 4i,26
Pmn2_1 | 2a 2a 2a 2a 4b 4b 4b,25
P2_1/m | 2e 2e 2e 2e 2e 2e,25
C2 | 2a 2b 4c 4c,25
P4_2/mnm | 2a 4f 8i,25
C2/c | 4e 4e 8f 8f,25
Pbcn | 4c 4c 8d 8d,25
P4_2/mnm | 2a 4e 4f 8j,25
Pbcm | 4c 4c 4d 4d 4d,25
Pnma | 4c 4c 4c 4c 4c 8d 8d,24
Cmcm | 4a 4c 4c 8f,24
P3m1 | 1a 1a 1a 1b 1b 1b,24
C2/c | 4e 4e 8f 8f 8f 8f 8f,24
Pnma | 4c 4c 4c 4c 4c 4c 4c 4c,24
C2/c | 4e 8f 8f 8f 8f 8f 8f,24
P6/mmm | 1a 2c 3f 6m,24
P3_121 | 3a,24
Cmcm | 4c 4c 8e 8g 8g,24
Amm2 | 2a 2a 2b 4d 4e 4e,24
P-3m1 | 2c 2d 2d,24
Pmma | 2e 2e 2f 2f,24
Pmmn | 2a 2a 2b 4e 4e,24
P-62c | 2b 4f 6g 6h,23
P6/mmm | 1a 2d 3f 6k 6l,23
P6_3mc | 2b 2b 6c 6c 6c,23
I4/mcm | 4a 4c 8h 16l,23
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,23
Pbca | 8c 8c 8c,23
