cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
250,Cm | 2a 2a 2a 2a,0.999284862932062,4195,4930
251,C2/m | 2a 2d 4i,0.383484390735146,4965,6148
252,P3m1 | 1a 1b 1c,0.9798754192620988,2087,2812
253,P2/m | 1a 1g 2n,0.7659301953250081,3123,4466
254,C2/m | 4i 4i 4i,0.053156146179401995,4214,5544
255,F-43m | 4a 4b 4c 4d,0.9459971577451445,4222,6295
256,Cmm2 | 2a 2a 2b 2b,0.3518113299294919,4113,5738
257,C2/m | 2a 2d 4i,0.07311320754716981,5512,6885
258,I-4m2 | 2a 2b 2c 2d,0.9327254805322819,4058,5505
259,Pmmm | 1a 1d 1f 1g,0.45925526173772263,3706,5284
260,R-3m | 3a 3b 6c,0.9997692662667282,4334,6126
261,P2/m | 1a 1g 2n,0.31427804616210414,3726,4975
262,Pm | 1a 1a 1b 1b,0.6554235339210426,2609,3594
263,F-43m | 4a 4c 16e,0.8373278939316675,5883,8146
264,Immm | 2a 2c 4j,0.5860612460401268,3788,5295
265,Pmm2 | 1a 1a 1d 1d,0.5025036818851252,3395,4777
266,Fm-3m | 4a 4b 8c,0.8228980322003577,559,6586
267,P4/mmm | 1a 1b 2h,0.4789612097304405,3042,4148
268,Cmmm | 2a 2b 4f,0.5474031327287716,3639,4753
269,P6_3/mmc | 2a 2c 2d,0.07183462532299742,3870,5023
270,Im-3m | 2a 8c,0.13121827411167514,3940,5684
271,F-43m | 4a 4c 16e,0.9553128103277061,5035,7082
272,I4/mmm | 2a 4e,0.1568287037037037,3456,4438
273,F-43m | 4a 4b 4c 4d,0.9979890310786106,5470,7203
274,P3m1 | 1a 1b 1c,0.9662296384584823,2517,3425
275,C2/m | 2a 2d 4i,0.3210193599367839,5062,6606
276,Pm | 1a 1a 1b 1b,0.9267935578330894,3415,4854
277,R3m | 3a 3a 3a 3a,0.951974386339381,2811,3824
278,F-43m | 4a 4b 4c 4d,0.9930852145617246,4917,6941
279,Cm | 2a 2a 2a 2a,0.9859218891916439,4404,5228
280,R-3m | 3a 3b 6c,0.9920874152223059,2654,3841
281,P4mm | 1a 1a 1b 1b,0.839930151338766,3436,4747
282,P4mm | 1a 1a 1b 1b,0.6797199170124482,3856,5240
283,P4/mmm | 1a 1c 2e,0.6194868838281926,3469,4963
284,I-4m2 | 2a 2b 2c 2d,0.7860785313615503,3922,5259
285,R3m | 3a 3a 3a 3a,0.9636898920510304,3057,4193
286,F-43m | 4a 4b 4c 4d,0.989979025868096,4291,5675
287,C2/m | 2a 2b 4f,0.42323353293413174,4175,5547
288,F-43m | 4a 4b 4c 4d,0.9985747372171744,5613,8242
289,Fm-3m | 4a 4b 8c,0.8330206378986866,1599,7392
290,I4/mmm | 2a 2b 4d,0.7531370656370656,4144,5747
291,Immm | 2a 2c 4j,0.597714829802428,4201,5865
292,F-43m | 4a 4c 16e,0.8503239740820734,4630,6403
293,I4/mmm | 2a 8h 8i,0.18630460448642266,4235,6308
294,P-6m2 | 1a 1b 2h,0.14427860696517414,3417,4597
295,I-4m2 | 2a 2b 2c 2d,0.728123114061557,3314,4447
296,Pmmm | 1a 1d 1f 1g,0.6757624398073836,3115,4393
297,F-43m | 4a 4b 4c 4d,0.9929010884997633,4226,6329
298,F-43m | 4a 4b 4c 4d,0.9990169574834111,4069,6687
299,P2/m | 1a 1c 2n,0.3192990995376004,4109,5708
