cluster_i,cluster_k,epsilon
19,33,1.453833484400338e-30
19,34,8.334010403786772e-17
19,35,4.068017817421468e-30
19,36,1.961403237533316e-15
19,37,3.1816308113169724e-30
19,38,1.2578676054069555e-15
19,39,2.7080815866248478e-30
19,40,1.4965729246293867e-30
19,41,6.674925175266978e-16
19,42,2.604302760411601e-30
19,43,7.539534423752655e-16
19,44,6.874379483009455e-16
19,45,5.230178308630641e-16
19,46,4.607632118382223e-30
19,47,2.5497836319055148e-30
19,48,6.386211417736335e-16
19,49,3.403855840022358e-30
20,21,2.1582873075484397e-30
20,22,2.078977958961058e-30
20,23,3.173880600713138e-30
20,24,3.327310046196358e-30
20,25,4.639960299890511e-30
20,26,6.039653472944291e-16
20,27,9.454745244580627e-16
20,28,2.1492907794324326e-30
20,29,3.5176040911839055e-30
20,30,4.110093124933116e-30
20,31,2.1588771306901514e-16
20,32,2.8920606634755383e-30
20,33,2.2143699274512484e-30
20,34,5.615820325143914e-30
20,35,3.547384942428572e-30
20,36,8.897086829405136e-16
20,37,2.4327029514746665e-30
20,38,2.0764690730289077e-15
20,39,3.693943790113173e-30
20,40,1.5450552274666796e-30
20,41,2.3152145744574803e-30
20,42,2.404638266092506e-30
20,43,5.686507270878677e-16
20,44,4.137501630361619e-30
20,45,4.279473498312807e-30
20,46,4.495519513218561e-30
20,47,2.686371502195351e-30
20,48,1.1343795058047373e-15
20,49,3.420272103209558e-30
21,22,1.5191641057421835e-30
21,23,1.2620738923203688e-30
21,24,1.6883618299757386e-30
21,25,2.2027958084062444e-30
21,26,5.888453109853296e-16
21,27,5.231996174250498e-16
21,28,1.503206085812172e-30
21,29,1.4766706222809284e-16
21,30,3.0443265223491425e-30
21,31,4.565160160613888e-16
21,32,1.181726884463807e-30
21,33,1.1287527027094057e-30
21,34,2.109541574775552e-30
21,35,2.963460805386763e-30
21,36,8.518149750395569e-16
21,37,2.275336515454653e-30
21,38,7.982518143810692e-16
21,39,1.7310719801735067e-30
21,40,1.5561332996446703e-30
21,41,1.5946754018393035e-16
21,42,1.995254579938663e-30
21,43,3.5296507805818155e-16
21,44,1.0870801958731753e-16
21,45,6.321253857374759e-16
21,46,2.411261869138325e-30
21,47,2.142162748483319e-30
21,48,9.26666017517343e-16
21,49,2.521512374036096e-30
22,23,1.201328048412533e-30
22,24,1.4423851091611189e-30
22,25,2.1719838930508994e-30
22,26,3.2820674764850356e-16
22,27,7.668105692304824e-16
22,28,1.397339816969961e-30
22,29,2.1502003237537243e-30
22,30,2.6963328165598948e-30
22,31,2.689216567902936e-16
22,32,1.188378784755259e-30
22,33,9.112456273381486e-31
22,34,2.2574742956066032e-30
22,35,2.715280354636946e-30
22,36,7.248267681854553e-16
22,37,2.102618036942951e-30
22,38,7.832675105288689e-16
22,39,1.7435457630390224e-30
22,40,8.905981684339448e-31
22,41,1.6005695755717744e-30
22,42,1.724598971939263e-30
22,43,3.553442475899575e-16
22,44,3.2345089231302785e-30
22,45,1.760915917110457e-16
22,46,2.0944726840375653e-30
22,47,1.6620906505127907e-30
22,48,1.0920053279420471e-15
22,49,2.388493875176402e-30
23,24,2.5183356035964146e-30
23,25,3.323397527236496e-30
23,26,6.17961608113252e-16
23,27,4.031352690149811e-16
23,28,1.588492721403497e-30
23,29,2.9777088856060844e-30
23,30,2.579424583475376e-30
23,31,4.1635170740766545e-16
23,32,2.3053961484429938e-30
23,33,1.5801303845202826e-30
23,34,4.41996045118183e-30
23,35,2.6450438086484337e-30
23,36,7.88107702350291e-16
23,37,1.6557587804184753e-30
23,38,1.5551813044504934e-15
23,39,2.6178850553953425e-30
23,40,1.1483570072825038e-30
23,41,1.7236191116740363e-30
23,42,1.6131932384989187e-30
23,43,5.199694362050845e-16
23,44,3.381434903679754e-30
23,45,4.1031788667471465e-30
23,46,3.053010773060278e-30
23,47,1.7142887418328174e-30
23,48,7.725286731135184e-16
23,49,2.063554212602217e-30
24,25,3.5040692215121576e-30
24,26,4.745412086926454e-16
24,27,7.147781731731609e-16
24,28,1.8186068120725057e-30
