layer,variant,distance,mean_cos
12,centered,5,0.0534797
12,centered,6,0.0500925
12,centered,7,0.0463324
12,centered,8,0.0445325
12,centered,9,0.0430349
12,centered,10,0.0415373
12,centered,11,0.0399866
12,centered,12,0.0380039
12,centered,13,0.0358508
12,centered,14,0.0339485
12,centered,15,0.0322395
12,centered,16,0.0297509
12,centered,17,0.0270633
12,centered,18,0.025046
12,centered,19,0.0230927
12,centered,20,0.0215369
12,centered,21,0.0203005
12,centered,22,0.0188833
12,centered,23,0.0175123
12,centered,24,0.0157398
12,centered,25,0.0146767
12,centered,26,0.0128662
12,centered,27,0.0115198
12,centered,28,0.0102337
12,centered,29,0.00822658
12,centered,30,0.00593727
12,centered,31,0.00302599
12,centered,32,0.001493
12,centered,33,-0.000782117
12,centered,34,-0.00376521
12,centered,35,-0.0069099
12,centered,36,-0.00987637
12,centered,37,-0.0131748
12,centered,38,-0.016232
12,centered,39,-0.0200881
12,centered,40,-0.0267482
12,centered,41,-0.0327963
12,centered,42,-0.0349744
12,centered,43,-0.0386352
12,centered,44,-0.0413103
12,centered,45,-0.04372
12,centered,46,-0.0467891
12,centered,47,-0.0418998
12,centered,48,-0.0299781
12,centered,49,-0.0191418
12,centered,50,-0.00296721
12,centered,51,0.0108529
12,centered,52,0.0029146
14,raw,0,0.60659
14,raw,1,0.603054
14,raw,2,0.599477
14,raw,3,0.597166
14,raw,4,0.595338
14,raw,5,0.59406
14,raw,6,0.592402
14,raw,7,0.590333
14,raw,8,0.589298
14,raw,9,0.588397
14,raw,10,0.587386
14,raw,11,0.586523
14,raw,12,0.585329
14,raw,13,0.584157
14,raw,14,0.583081
14,raw,15,0.582013
14,raw,16,0.580787
14,raw,17,0.579496
14,raw,18,0.578658
14,raw,19,0.577683
14,raw,20,0.576996
14,raw,21,0.576424
14,raw,22,0.575572
14,raw,23,0.575409
14,raw,24,0.574915
14,raw,25,0.575399
14,raw,26,0.575541
14,raw,27,0.575539
14,raw,28,0.575827
14,raw,29,0.57601
14,raw,30,0.575357
14,raw,31,0.574462
14,raw,32,0.57354
14,raw,33,0.572688
14,raw,34,0.571653
14,raw,35,0.570343
14,raw,36,0.569627
14,raw,37,0.568299
14,raw,38,0.566857
14,raw,39,0.564791
14,raw,40,0.561338
14,raw,41,0.55791
14,raw,42,0.555961
14,raw,43,0.553234
14,raw,44,0.55027
14,raw,45,0.547483
14,raw,46,0.543446
14,raw,47,0.541204
14,raw,48,0.542627
14,raw,49,0.543676
14,raw,50,0.550434
14,raw,51,0.550221
14,raw,52,0.538683
14,centered,0,0.0806246
14,centered,1,0.0714161
14,centered,2,0.062183
14,centered,3,0.056482
14,centered,4,0.0520661
14,centered,5,0.0491432
14,centered,6,0.0458194
14,centered,7,0.0420437
14,centered,8,0.0402728
14,centered,9,0.038915
14,centered,10,0.037628
14,centered,11,0.0365194
14,centered,12,0.0347601
14,centered,13,0.0328566
14,centered,14,0.0310047
14,centered,15,0.0292815
14,centered,16,0.026851
14,centered,17,0.0242695
14,centered,18,0.0221766
14,centered,19,0.0202722
14,centered,20,0.0186562
14,centered,21,0.0173925
14,centered,22,0.0160191
14,centered,23,0.0147725
14,centered,24,0.0129084
14,centered,25,0.0117731
14,centered,26,0.0100923
14,centered,27,0.00866976
14,centered,28,0.00711667
14,centered,29,0.00495923
14,centered,30,0.00241632
14,centered,31,-0.000763874
14,centered,32,-0.00238809
14,centered,33,-0.00458435
14,centered,34,-0.00746404
14,centered,35,-0.0105594
14,centered,36,-0.0133276
14,centered,37,-0.0164033
14,centered,38,-0.0194905
14,centered,39,-0.0233488
14,centered,40,-0.0301542
14,centered,41,-0.0362484
14,centered,42,-0.0379845
14,centered,43,-0.0406091
14,centered,44,-0.0426745
14,centered,45,-0.044542
14,centered,46,-0.0473772
14,centered,47,-0.042143
14,centered,48,-0.0291392
14,centered,49,-0.0147899
14,centered,50,0.00861447
14,centered,51,0.0268054
14,centered,52,0.0158979
16,raw,0,0.659966
16,raw,1,0.656767
16,raw,2,0.653504
16,raw,3,0.651423
16,raw,4,0.649687
16,raw,5,0.648415
16,raw,6,0.646913
16,raw,7,0.645169
16,raw,8,0.644389
16,raw,9,0.643638
16,raw,10,0.642772
16,raw,11,0.642006
16,raw,12,0.640954
16,raw,13,0.639887
16,raw,14,0.638939
16,raw,15,0.638004
16,raw,16,0.636947
16,raw,17,0.635853
16,raw,18,0.635127
16,raw,19,0.634276
16,raw,20,0.633681
16,raw,21,0.63321
16,raw,22,0.632513
16,raw,23,0.632484
16,raw,24,0.632142
16,raw,25,0.632608
16,raw,26,0.632814
16,raw,27,0.63288
16,raw,28,0.633123
16,raw,29,0.633282
16,raw,30,0.632716
16,raw,31,0.631949
16,raw,32,0.631002
16,raw,33,0.630031
16,raw,34,0.628846
16,raw,35,0.627436
16,raw,36,0.626717
16,raw,37,0.625281
16,raw,38,0.623812
16,raw,39,0.621577
16,raw,40,0.618078
16,raw,41,0.614689
16,raw,42,0.612597
16,raw,43,0.609582
16,raw,44,0.606441
16,raw,45,0.604196
16,raw,46,0.601909
16,raw,47,0.601113
16,raw,48,0.602757
16,raw,49,0.602892
16,raw,50,0.609529
16,raw,51,0.611425
16,raw,52,0.605524
16,centered,0,0.0866088
16,centered,1,0.0770983
16,centered,2,0.0673968
16,centered,3,0.0615063
16,centered,4,0.0566826
16,centered,5,0.053476
16,centered,6,0.0500562
16,centered,7,0.0462448
16,centered,8,0.0444527
16,centered,9,0.0431296
16,centered,10,0.0419742
16,centered,11,0.0409108
16,centered,12,0.0391946
16,centered,13,0.037126
16,centered,14,0.0352345
16,centered,15,0.0335339
16,centered,16,0.0310649
16,centered,17,0.0285216
16,centered,18,0.0263861
16,centered,19,0.024479
16,centered,20,0.0228833
16,centered,21,0.0217536
16,centered,22,0.0205173
16,centered,23,0.0193511
16,centered,24,0.0175499
16,centered,25,0.0163176
16,centered,26,0.0147117
16,centered,27,0.0132786
16,centered,28,0.0115557
16,centered,29,0.00928463
16,centered,30,0.00666213
16,centered,31,0.00337485
16,centered,32,0.0016248
16,centered,33,-0.000859936
16,centered,34,-0.00422043
16,centered,35,-0.00775361
16,centered,36,-0.0104789
16,centered,37,-0.0140177
16,centered,38,-0.0174641
16,centered,39,-0.0219372
16,centered,40,-0.0295824
16,centered,41,-0.036207
16,centered,42,-0.0381362
16,centered,43,-0.0412062
16,centered,44,-0.0433938
16,centered,45,-0.0440807
16,centered,46,-0.0450532
16,centered,47,-0.0376108
16,centered,48,-0.0223845
16,centered,49,-0.00876951
16,centered,50,0.0175995
16,centered,51,0.0425792
16,centered,52,0.0372983
18,raw,0,0.719461
18,raw,1,0.717063
18,raw,2,0.714599
18,raw,3,0.713076
18,raw,4,0.711832
18,raw,5,0.710818
18,raw,6,0.709597
18,raw,7,0.708184
18,raw,8,0.707638
18,raw,9,0.706997
18,raw,10,0.706248
18,raw,11,0.705599
18,raw,12,0.704707
18,raw,13,0.703906
18,raw,14,0.703178
18,raw,15,0.702463
18,raw,16,0.701576
18,raw,17,0.700648
18,raw,18,0.699961
18,raw,19,0.699244
18,raw,20,0.698691
18,raw,21,0.698271
18,raw,22,0.697787
18,raw,23,0.697807
18,raw,24,0.697553
18,raw,25,0.697882
18,raw,26,0.698039
18,raw,27,0.698129
18,raw,28,0.698314
18,raw,29,0.698385
18,raw,30,0.697886
18,raw,31,0.697211
18,raw,32,0.696462
18,raw,33,0.695535
18,raw,34,0.694296
18,raw,35,0.692897
18,raw,36,0.692036
18,raw,37,0.690584
18,raw,38,0.689209
18,raw,39,0.687151
18,raw,40,0.684016
18,raw,41,0.680912
